tid,fritt_mb,swap_mb,pid,cpu,rss_mb,namn
7.3,752,14114,98129,0.2,577,/Applications/Ollama.app/Contents/Resources/llama-server
7.8,434,14058,1187,1.8,277,/Applications/Ollama.app/Contents/Resources/llama-server
7.8,434,14058,1760,0.0,0,/Applications/Microsoft
7.8,434,14058,2289,2.7,24,/Applications/Ollama.app/Contents/Resources/ollama
7.8,434,14058,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
7.8,434,14058,3491,69.9,353,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
7.8,434,14058,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
7.8,434,14058,91257,0.4,27,/Applications/Microsoft
7.8,434,14058,91258,0.0,0,/Applications/Microsoft
7.8,434,14058,91259,0.0,2,/Applications/Microsoft
7.8,434,14058,91263,0.0,30,/Applications/Microsoft
7.8,434,14058,91265,0.0,0,/Applications/Microsoft
7.8,434,14058,91266,0.0,31,/Applications/Microsoft
7.8,434,14058,91268,0.2,11,/Applications/Microsoft
7.8,434,14058,91270,0.0,9,/Applications/Microsoft
7.8,434,14058,91271,0.0,56,/Applications/Microsoft
7.8,434,14058,91272,0.0,11,/Applications/Microsoft
7.8,434,14058,91279,0.0,369,/Applications/Microsoft
7.8,434,14058,91280,51.5,178,/Applications/Microsoft
7.8,434,14058,91295,0.0,6,/Applications/Microsoft
7.8,434,14058,91296,0.0,6,/Applications/Microsoft
7.8,434,14058,91305,0.0,9,/Applications/Microsoft
7.8,434,14058,91318,0.0,12,/Applications/Microsoft
7.8,434,14058,96687,0.1,3534,/Applications/Ollama.app/Contents/Resources/llama-server
7.8,434,14058,98129,0.1,577,/Applications/Ollama.app/Contents/Resources/llama-server
8.4,344,14042,1187,0.2,277,/Applications/Ollama.app/Contents/Resources/llama-server
8.4,344,14042,1760,0.0,0,/Applications/Microsoft
8.4,344,14042,2289,0.1,24,/Applications/Ollama.app/Contents/Resources/ollama
8.4,344,14042,3311,0.0,11,dist/Critero-kundkoll.app/Contents/MacOS/Kundkoll
8.4,344,14042,3491,63.1,401,/opt/homebrew/Cellar/python@3.12/3.12.14/Frameworks/Python.framework/Versions/3.12/Resources/Python.app/Contents/MacOS/Python
8.4,344,14042,76251,0.0,4,/opt/homebrew/Cellar/python@3.14/3.14.7/Frameworks/Python.framework/Versions/3.14/Resources/Python.app/Contents/MacOS/Python
8.4,344,14042,91257,0.4,27,/Applications/Microsoft
8.4,344,14042,91258,0.0,0,/Applications/Microsoft
8.4,344,14042,91259,0.0,2,/Applications/Microsoft
